loc_id,file_id,file_type,file_path,source_data,occupancy1,visual_evidence1,data
2,1826245428223303,svi,my_dataset/images/2_1826245428223303.png,<local>,uncertain,"The image quality is clear enough to see that there are no obvious signs of habitation or vacancy, such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/2_576728614982524.png
2,1826245428223303,svi,my_dataset/images/2_1826245428223303.png,<local>,uncertain,"The image quality is clear enough to see that there are no obvious signs of habitation or vacancy, such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/2_1826245428223303.png
3,1768591947373095,svi,my_dataset/images/3_1768591947373095.png,<local>,uncertain,The image is slightly overexposed and lacks clear details of signs indicating habitation or vacancy.,./my_dataset_run/images/3_1768591947373095.png
3,1768591947373095,svi,my_dataset/images/3_1768591947373095.png,<local>,occupied,The presence of a maintained yard and decorations on the porch suggest habitation.,./my_dataset_run/images/3_1215516363608169.png
3,1215516363608169,svi,my_dataset/images/3_1215516363608169.png,<local>,uncertain,The image is slightly overexposed and lacks clear details of signs indicating habitation or vacancy.,./my_dataset_run/images/3_1768591947373095.png
3,1215516363608169,svi,my_dataset/images/3_1215516363608169.png,<local>,occupied,The presence of a maintained yard and decorations on the porch suggest habitation.,./my_dataset_run/images/3_1215516363608169.png
4,673732965522476,svi,my_dataset/images/4_673732965522476.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/4_673732965522476.png
4,673732965522476,svi,my_dataset/images/4_673732965522476.png,<local>,occupied,The presence of a maintained yard and parked vehicles suggests habitation.,./my_dataset_run/images/4_713322327937086.png
4,713322327937086,svi,my_dataset/images/4_713322327937086.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/4_673732965522476.png
4,713322327937086,svi,my_dataset/images/4_713322327937086.png,<local>,occupied,The presence of a maintained yard and parked vehicles suggests habitation.,./my_dataset_run/images/4_713322327937086.png
5,639927932347268,svi,my_dataset/images/5_639927932347268.png,<local>,uncertain,"The image quality is slightly low and the house appears to be partially obscured by trees, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/5_639927932347268.png
5,639927932347268,svi,my_dataset/images/5_639927932347268.png,<local>,uncertain,"The image quality is slightly low and the house appears to be partially obscured by trees, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/5_707297068367171.png
5,707297068367171,svi,my_dataset/images/5_707297068367171.png,<local>,uncertain,"The image quality is slightly low and the house appears to be partially obscured by trees, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/5_639927932347268.png
5,707297068367171,svi,my_dataset/images/5_707297068367171.png,<local>,uncertain,"The image quality is slightly low and the house appears to be partially obscured by trees, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/5_707297068367171.png
6,1698687478196657,svi,my_dataset/images/6_1698687478196657.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/6_1698687478196657.png
6,1698687478196657,svi,my_dataset/images/6_1698687478196657.png,<local>,occupied,The presence of a vehicle in front and maintained yard suggests habitation.,./my_dataset_run/images/6_712608471436711.png
6,712608471436711,svi,my_dataset/images/6_712608471436711.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/6_1698687478196657.png
6,712608471436711,svi,my_dataset/images/6_712608471436711.png,<local>,occupied,The presence of a vehicle in front and maintained yard suggests habitation.,./my_dataset_run/images/6_712608471436711.png
7,1698687478196657,svi,my_dataset/images/7_1698687478196657.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/7_1698687478196657.png
7,1698687478196657,svi,my_dataset/images/7_1698687478196657.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/7_712608471436711.png
7,712608471436711,svi,my_dataset/images/7_712608471436711.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/7_1698687478196657.png
7,712608471436711,svi,my_dataset/images/7_712608471436711.png,<local>,uncertain,The image quality is somewhat low and the house is partially obscured by trees.,./my_dataset_run/images/7_712608471436711.png
8,1370970410714497,svi,my_dataset/images/8_1370970410714497.png,<local>,occupied,The presence of curtains in the windows and a maintained yard with decorations suggest habitation.,./my_dataset_run/images/8_1370970410714497.png
8,1370970410714497,svi,my_dataset/images/8_1370970410714497.png,<local>,occupied,"The presence of a well-maintained yard with plants and decorations on the porch, along with parked vehicles in front of the house, indicates habitation.",./my_dataset_run/images/8_639927932347268.png
8,639927932347268,svi,my_dataset/images/8_639927932347268.png,<local>,occupied,The presence of curtains in the windows and a maintained yard with decorations suggest habitation.,./my_dataset_run/images/8_1370970410714497.png
8,639927932347268,svi,my_dataset/images/8_639927932347268.png,<local>,occupied,"The presence of a well-maintained yard with plants and decorations on the porch, along with parked vehicles in front of the house, indicates habitation.",./my_dataset_run/images/8_639927932347268.png
9,707297068367171,svi,my_dataset/images/9_707297068367171.png,<local>,uncertain,The image quality is relatively low and the house is partially obscured by trees.,./my_dataset_run/images/9_707297068367171.png
9,707297068367171,svi,my_dataset/images/9_707297068367171.png,<local>,uncertain,"The image quality is relatively low and the house is partially obscured by a tree, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/9_673732965522476.png
9,673732965522476,svi,my_dataset/images/9_673732965522476.png,<local>,uncertain,The image quality is relatively low and the house is partially obscured by trees.,./my_dataset_run/images/9_707297068367171.png
9,673732965522476,svi,my_dataset/images/9_673732965522476.png,<local>,uncertain,"The image quality is relatively low and the house is partially obscured by a tree, making it difficult to clearly assess signs of habitation or vacancy.",./my_dataset_run/images/9_673732965522476.png
10,1768591947373095,svi,my_dataset/images/10_1768591947373095.png,<local>,uncertain,"The image is of a single-story house with no clear signs of habitation or vacancy, such as lights on, curtains drawn, maintained yard, vehicles present, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/10_1768591947373095.png
10,1768591947373095,svi,my_dataset/images/10_1768591947373095.png,<local>,uncertain,"The image quality is moderate but lacks clear signs of habitation or vacancy. The yard appears somewhat maintained, and there are no visible lights or decorations.",./my_dataset_run/images/10_1215516363608169.png
10,1215516363608169,svi,my_dataset/images/10_1215516363608169.png,<local>,uncertain,"The image is of a single-story house with no clear signs of habitation or vacancy, such as lights on, curtains drawn, maintained yard, vehicles present, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/10_1768591947373095.png
10,1215516363608169,svi,my_dataset/images/10_1215516363608169.png,<local>,uncertain,"The image quality is moderate but lacks clear signs of habitation or vacancy. The yard appears somewhat maintained, and there are no visible lights or decorations.",./my_dataset_run/images/10_1215516363608169.png
11,576728614982524,svi,my_dataset/images/11_576728614982524.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/11_576728614982524.png
11,576728614982524,svi,my_dataset/images/11_576728614982524.png,<local>,uncertain,"The image quality is relatively clear, but there are no definitive signs of habitation or vacancy such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/11_1826245428223303.png
11,1826245428223303,svi,my_dataset/images/11_1826245428223303.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/11_576728614982524.png
11,1826245428223303,svi,my_dataset/images/11_1826245428223303.png,<local>,uncertain,"The image quality is relatively clear, but there are no definitive signs of habitation or vacancy such as lights, curtains, maintained yard, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti.",./my_dataset_run/images/11_1826245428223303.png
12,998947265352399,svi,my_dataset/images/12_998947265352399.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/12_998947265352399.png
12,998947265352399,svi,my_dataset/images/12_998947265352399.png,<local>,uncertain,"The image is of a single-story brick house with no clear signs of habitation or vacancy. The yard appears well-maintained, but the lack of visible details such as lights, curtains, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti makes it difficult to determine occupancy.",./my_dataset_run/images/12_1347841943099025.png
12,1347841943099025,svi,my_dataset/images/12_1347841943099025.png,<local>,uncertain,The image is of poor quality and does not provide clear details about signs of habitation or vacancy.,./my_dataset_run/images/12_998947265352399.png
12,1347841943099025,svi,my_dataset/images/12_1347841943099025.png,<local>,uncertain,"The image is of a single-story brick house with no clear signs of habitation or vacancy. The yard appears well-maintained, but the lack of visible details such as lights, curtains, vehicles, decorations, boarded windows, overgrown yard, structural damage, or graffiti makes it difficult to determine occupancy.",./my_dataset_run/images/12_1347841943099025.png
13,998947265352399,svi,my_dataset/images/13_998947265352399.png,<local>,uncertain,"The image is of a single-story brick building with boarded windows and an overgrown yard, suggesting potential vacancy. However, due to the quality of the image and lack of clear visual evidence such as lights or decorations, it's difficult to definitively classify its occupancy.",./my_dataset_run/images/13_998947265352399.png
13,998947265352399,svi,my_dataset/images/13_998947265352399.png,<local>,uncertain,The image is slightly overexposed and lacks clear details of signs indicating habitation or vacancy.,./my_dataset_run/images/13_1347841943099025.png
13,1347841943099025,svi,my_dataset/images/13_1347841943099025.png,<local>,uncertain,"The image is of a single-story brick building with boarded windows and an overgrown yard, suggesting potential vacancy. However, due to the quality of the image and lack of clear visual evidence such as lights or decorations, it's difficult to definitively classify its occupancy.",./my_dataset_run/images/13_998947265352399.png
13,1347841943099025,svi,my_dataset/images/13_1347841943099025.png,<local>,uncertain,The image is slightly overexposed and lacks clear details of signs indicating habitation or vacancy.,./my_dataset_run/images/13_1347841943099025.png
